SKU,PRICE
11367,443.0
11367,550.0
11368,395.0
11368,455.0
11368,565.0
11368,569.89
11369,435.0
11369,450.0
11369,474.98
11369,485.0
11369,489.0
11369,489.0
11369,495.0
11369,549.99
11369,582.0
11369,586.0
11369,675.0
11369,740.0
11369,745.0
11369,868.34
11370,509.0
11370,525.0
11370,531.0
11370,536.0
11370,660.0
11370,773.94
11370,899.99
11370,1750.0
11371,873.0
11371,875.0
11371,875.0
11371,892.0
11371,910.0
11371,937.0
11371,995.0
11371,1094.98
11371,1129.0
11371,1135.65
11371,1149.97
11371,1149.97
11371,1149.97
11371,1199.0
11371,1399.99
11372,899.0
11372,1050.0
11372,1069.0
11372,1095.0
11372,1150.0
11372,1199.97
11372,1199.97
11372,1232.5
11372,1271.99
11372,1294.58
11372,1320.0
11372,1323.55
11372,1500.0
11372,1590.0
11372,1595.0
11373,398.0
11373,479.0
11373,492.0
11373,493.0
11373,498.0
11373,499.0
11373,499.0
11373,499.97
11373,499.97
11373,499.97
11373,499.97
11373,535.5
11373,539.98
11373,549.99
11373,550.0
11373,599.0
11373,615.0
11373,629.5
11373,649.99
11373,650.84
11373,799.99
11373,1080.0
11373,1084.0
11373,2295.0
11374,59.0
11374,65.0
11374,90.0
11374,125.0
11374,133.0
11374,135.0
11374,150.0
11374,160.0
11374,180.0
11374,1800.0
11376,295.0
11376,304.0
11376,325.0
11376,335.0
11376,335.0
11376,349.0
11376,349.99
11376,369.99
11376,399.95
11376,549.99
11376,649.97
11376,1650.0
11377,185.0
11377,199.0
11377,199.0
11377,220.0
11377,237.55
11377,245.0
11377,249.99
11377,255.0
11377,279.99
11378,180.0
11378,215.0
11378,215.0
11378,245.0
11378,270.0
11378,274.5
11379,119.99
11379,162.0
11379,205.0
11379,265.0
11380,158.0
11380,200.0
11380,256.55
11380,315.0
11381,120.0
11381,125.0
11381,145.0
11381,152.0
11381,156.55
11381,972.0
11382,210.0
11382,217.0
11382,217.99
11382,218.0
11382,225.0
11382,225.0
11382,235.0
11382,235.0
